Gene;GDI;;;
CST3;6,050846982;;;
SPI1;5,94489569;;;
TYROBP;5,855897589;;;
FCER1G;5,852309561;;;
CD68;5,822191698;;;
LYZ;5,81194588;;;
FCN1;5,793116879;;;
IFI30;5,786557451;;;
SERPINA1;5,768885623;;;
HLA-DRA;5,768586446;;;
PILRA;5,719099347;;;
RP11-290F20,3;5,714604637;;;
HCK;5,70385966;;;
MS4A7;5,702173152;;;
CFD;5,657538729;;;
HLA-DRB1;5,642736757;;;
LRRC25;5,629902039;;;
HLA-DRB5;5,593586411;;;
CPVL;5,592251107;;;
TYMP;5,561992237;;;
TMEM176B;5,560499992;;;
HLA-DQA1;5,555636842;;;
S100A9;5,520324053;;;
LST1;5,515245866;;;
HLA-DQA2;5,497830699;;;
CFP;5,481354377;;;
HLA-DPA1;5,474061378;;;
IGSF6;5,443482796;;;
HLA-DPB1;5,41744413;;;
HMOX1;5,351257696;;;
FCGR3A;5,315346859;;;
MNDA;5,31126428;;;
C19orf38;5,306986216;;;
LILRB2;5,284171081;;;
HLA-DQB1;5,217197976;;;
C1QA;5,206472239;;;
LY86;5,202191154;;;
NKG7;5,192678643;;;
LTB;5,176315279;;;
LGALS1;5,175435717;;;
FGL2;5,165799358;;;
AIF1;5,13876054;;;
CSF1R;5,134361363;;;
NCF2;5,12848677;;;
CD3D;5,127284225;;;
CST7;5,111056483;;;
FAM26F;5,110613001;;;
GZMB;5,099946572;;;
LILRA2;5,096146623;;;
CD33;5,094800392;;;
GZMA;5,09407961;;;
GPBAR1;5,090271595;;;
CD3E;5,081110543;;;
HLA-DMA;5,079588417;;;
CAMK1;5,072304597;;;
HES4;5,067365229;;;
S100A8;5,061285462;;;
VMO1;5,05646027;;;
FCER1A;5,041303336;;;
LGALS3;5,025192332;;;
RAB32;5,024467915;;;
GRN;5,014066035;;;
CD86;5,001833285;;;
KLF4;4,998560457;;;
GNLY;4,998368924;;;
CCL5;4,965724501;;;
FGR;4,962551918;;;
MAFB;4,947909422;;;
CXCL16;4,942709708;;;
RHOC;4,941952527;;;
HLA-DMB;4,935182419;;;
ALDH2;4,932086018;;;
CTSH;4,920268884;;;
ICAM4;4,918147316;;;
LDHB;4,917427744;;;
ANXA2;4,916979524;;;
PLAUR;4,910953333;;;
BATF3;4,901398589;;;
FGFBP2;4,900025447;;;
CDKN1C;4,898241854;;;
LGALS9;4,893836215;;;
CLEC10A;4,885331876;;;
TESC;4,88209641;;;
PSAP;4,872647681;;;
TPPP3;4,871117482;;;
LYN;4,856539179;;;
CD300C;4,845013668;;;
TBXAS1;4,84389732;;;
GZMH;4,839937054;;;
S100A11;4,836386773;;;
LILRA3;4,832053308;;;
SCIMP;4,829546237;;;
CTD-2006K23,1;4,828926575;;;
PYCARD;4,815074123;;;
SLC7A7;4,811764369;;;
LGALS2;4,78733032;;;
SAT1;4,780050761;;;
CD300LF;4,775762929;;;
CEBPD;4,767950213;;;
CD1C;4,763568044;;;
CTSW;4,75768935;;;
PRF1;4,752929427;;;
ENHO;4,751449975;;;
CPPED1;4,749914295;;;
ABI3;4,734810999;;;
CTSS;4,729679973;;;
LYL1;4,721721867;;;
RNF130;4,715700965;;;
C5AR1;4,710061647;;;
PLD4;4,703683349;;;
OAS1;4,696841209;;;
CKB;4,691184756;;;
SIGLEC10;4,690942971;;;
IL32;4,669913254;;;
MS4A4A;4,659591163;;;
LYPD2;4,659056161;;;
CD74;4,658293324;;;
IFITM3;4,645174655;;;
BID;4,640145842;;;
SRGN;4,638230098;;;
TMEM176A;4,633257861;;;
PRAM1;4,631882343;;;
CTSZ;4,624590074;;;
HOPX;4,622184029;;;
S100A4;4,619368413;;;
FCGRT;4,618713641;;;
SMCO4;4,613661984;;;
STXBP2;4,613507661;;;
NPC2;4,609624721;;;
LILRA5;4,597909161;;;
CD27;4,588359847;;;
GSTP1;4,568617071;;;
PTPRCAP;4,56731147;;;
TIMP1;4,566447825;;;
HHEX;4,560044436;;;
TGFBI;4,548752299;;;
BRI3;4,546275843;;;
PLEK;4,529523515;;;
CDA;4,527827263;;;
GSN;4,525369115;;;
COTL1;4,521008627;;;
FCGR2A;4,514340515;;;
CD14;4,479463041;;;
CD7;4,477102342;;;
C1QB;4,472732577;;;
CD302;4,467411476;;;
WARS;4,464316512;;;
UNC93B1;4,461370363;;;
GPX1;4,455673317;;;
RHOB;4,442664406;;;
ZNF385A;4,435959336;;;
CD300A;4,434682173;;;
PLBD1;4,433782442;;;
NOSIP;4,4290301;;;
CLIC3;4,428284088;;;
NAGK;4,405143386;;;
ZNF703;4,405103325;;;
CYBB;4,40508477;;;
